256 256
-4.918 -5.906 -7.34542
-4.871 -5.906 -7.35984
-4.824 -5.906 -7.38511
-4.776 -5.906 -7.41151
-4.729 -5.906 -7.42429
-4.682 -5.906 -7.41994
-4.635 -5.906 -7.40094
-4.588 -5.906 -7.37373
-4.541 -5.906 -7.34521
-4.494 -5.906 -7.32651
-4.447 -5.906 -7.32456
-4.4 -5.906 -7.33813
-4.353 -5.906 -7.35622
-4.306 -5.906 -7.36534
-4.259 -5.906 -7.36063
-4.212 -5.906 -7.34925
-4.165 -5.906 -7.33899
-4.118 -5.906 -7.33074
-4.071 -5.906 -7.31976
-4.024 -5.906 -7.3038
-3.976 -5.906 -7.286
-3.929 -5.906 -7.27065
-3.882 -5.906 -7.25966
-3.835 -5.906 -7.25248
-3.788 -5.906 -7.24866
-3.741 -5.906 -7.24991
-3.694 -5.906 -7.25774
-3.647 -5.906 -7.26855
-3.6 -5.906 -7.27651
-3.553 -5.906 -7.27813
-3.506 -5.906 -7.27566
-3.459 -5.906 -7.27497
-3.412 -5.906 -7.27682
-3.365 -5.906 -7.27493
-3.318 -5.906 -7.26284
-3.271 -5.906 -7.24314
-3.224 -5.906 -7.22265
-3.176 -5.906 -7.20673
-3.129 -5.906 -7.19518
-3.082 -5.906 -7.18543
-3.035 -5.906 -7.17527
-2.988 -5.906 -7.16252
-2.941 -5.906 -7.14659
-2.894 -5.906 -7.12722
-2.847 -5.906 -7.1063
-2.8 -5.906 -7.08491
-2.753 -5.906 -7.06603
-2.706 -5.906 -7.04963
-2.659 -5.906 -7.03371
-2.612 -5.906 -7.01499
-2.565 -5.906 -6.99143
-2.518 -5.906 -6.9642
-2.471 -5.906 -6.93883
-2.424 -5.906 -6.91831
-2.376 -5.906 -6.90349
-2.329 -5.906 -6.89375
-2.282 -5.906 -6.8867
-2.235 -5.906 -6.88036
-2.188 -5.906 -6.871
-2.141 -5.906 -6.85694
-2.094 -5.906 -6.83909
-2.047 -5.906 -6.82358
-2.0 -5.906 -6.81466
-1.953 -5.906 -6.81346
-1.906 -5.906 -6.81692
-1.859 -5.906 -6.81906
-1.812 -5.906 -6.81388
-1.765 -5.906 -6.79919
-1.718 -5.906 -6.77761
-1.671 -5.906 -6.75651
-1.624 -5.906 -6.74225
-1.576 -5.906 -6.73756
-1.529 -5.906 -6.74162
-1.482 -5.906 -6.75103
-1.435 -5.906 -6.76423
-1.388 -5.906 -6.7813
-1.341 -5.906 -6.80361
-1.294 -5.906 -6.8311
-1.247 -5.906 -6.85696
-1.2 -5.906 -6.8744
-1.153 -5.906 -6.88181
-1.106 -5.906 -6.88604
-1.059 -5.906 -6.8965
-1.012 -5.906 -6.91625
-0.965 -5.906 -6.94037
-0.918 -5.906 -6.95929
-0.871 -5.906 -6.96754
-0.824 -5.906 -6.96381
-0.776 -5.906 -6.95489
-0.729 -5.906 -6.9458
-0.682 -5.906 -6.94016
-0.635 -5.906 -6.94058
-0.588 -5.906 -6.94775
-0.541 -5.906 -6.96221
-0.494 -5.906 -6.98252
-0.447 -5.906 -7.0038
